,id,path,name,extension,size,atime,mtime,ctime,folder,num_files,depth,parent,uid
0,2,data/today/.DS_Store,.DS_Store,,6148,2023-01-17 11:12:48,2023-01-17 11:02:26,2023-01-17 11:02:26,False,,0,1,501
1,3,data/today/0000000009.txt,0000000009,txt,274107,2023-01-17 11:12:40,2012-01-09 18:36:08,2023-01-17 11:02:30,False,,0,1,501
2,4,data/today/0000000020.txt,0000000020,txt,275307,2023-01-17 11:12:40,2012-01-09 18:36:15,2023-01-17 11:02:30,False,,0,1,501
3,5,data/today/0000000008.txt,0000000008,txt,275470,2023-01-17 11:12:40,2012-01-09 18:36:08,2023-01-17 11:02:30,False,,0,1,501
4,6,data/today/0000000018.txt,0000000018,txt,274059,2023-01-17 11:12:40,2012-01-09 18:36:13,2023-01-17 11:02:30,False,,0,1,501
5,7,data/today/0000000019.txt,0000000019,txt,275123,2023-01-17 11:12:40,2012-01-09 18:36:14,2023-01-17 11:02:30,False,,0,1,501
6,8,data/today/data.csv,data,csv,3114,2023-02-09 19:35:42,2023-02-09 19:35:41,2023-02-09 19:35:41,False,,0,1,501
7,9,data/today/0000000014.txt,0000000014,txt,273457,2023-01-17 11:12:40,2012-01-09 18:36:11,2023-01-17 11:02:30,False,,0,1,501
8,10,data/today/0000000000.txt,0000000000,txt,277875,2023-01-17 11:12:40,2012-01-09 18:36:04,2023-01-17 11:02:30,False,,0,1,501
9,11,data/today/0000000001.txt,0000000001,txt,278166,2023-01-17 11:12:40,2012-01-09 18:36:04,2023-01-17 11:02:30,False,,0,1,501
10,12,data/today/0000000015.txt,0000000015,txt,274179,2023-01-17 11:12:40,2012-01-09 18:36:12,2023-01-17 11:02:30,False,,0,1,501
11,13,data/today/0000000003.txt,0000000003,txt,278189,2023-01-17 11:12:40,2012-01-09 18:36:05,2023-01-17 11:02:30,False,,0,1,501
12,14,data/today/0000000017.txt,0000000017,txt,273520,2023-01-17 11:12:40,2012-01-09 18:36:13,2023-01-17 11:02:30,False,,0,1,501
13,15,data/today/0000000016.txt,0000000016,txt,274203,2023-01-17 11:12:40,2012-01-09 18:36:12,2023-01-17 11:02:30,False,,0,1,501
14,16,data/today/0000000002.txt,0000000002,txt,280047,2023-01-17 11:12:40,2012-01-09 18:36:05,2023-01-17 11:02:30,False,,0,1,501
15,17,data/today/0000000006.txt,0000000006,txt,279587,2023-01-17 11:12:40,2012-01-09 18:36:07,2023-01-17 11:02:30,False,,0,1,501
16,18,data/today/0000000012.txt,0000000012,txt,273280,2023-01-17 11:12:40,2012-01-09 18:36:11,2023-01-17 11:02:30,False,,0,1,501
17,19,data/today/0000000013.txt,0000000013,txt,273185,2023-01-17 11:12:40,2012-01-09 18:36:11,2023-01-17 11:02:30,False,,0,1,501
18,20,data/today/0000000007.txt,0000000007,txt,277664,2023-01-17 11:12:40,2012-01-09 18:36:08,2023-01-17 11:02:30,False,,0,1,501
19,21,data/today/0000000011.txt,0000000011,txt,276559,2023-01-17 11:12:40,2012-01-09 18:36:10,2023-01-17 11:02:30,False,,0,1,501
20,22,data/today/0000000005.txt,0000000005,txt,280428,2023-01-17 11:12:40,2012-01-09 18:36:06,2023-01-17 11:02:30,False,,0,1,501
21,23,data/today/0000000004.txt,0000000004,txt,280098,2023-01-17 11:12:40,2012-01-09 18:36:06,2023-01-17 11:02:30,False,,0,1,501
22,24,data/today/0000000010.txt,0000000010,txt,274845,2023-01-17 11:12:40,2012-01-09 18:36:10,2023-01-17 11:02:30,False,,0,1,501
23,1,data/today,today,,5808610,2023-02-09 19:34:33,2023-02-09 19:34:20,2023-02-09 19:34:20,True,23.0,0,0,501
